symbol,strategy,trigger,regime,category,confluence,signal_date,signal_price,entry_date,entry_price,entry_slippage,entry_commission,shares,original_shares,position_size,stop_loss,trailing_stop,take_profit,peak_price,rsi_at_entry,vol_at_entry,stdev_20,stdev_fallback,strength,scaled_out,scale_out_price,scale_out_date,from_queue,status,exit_date,exit_price,exit_reason,exit_slippage,exit_commission,total_commission,holding_days,pnl,pnl_pct,pnl_after_costs,version,sample_phase,contaminated,contamination_reasons,fill_source,fill_detect,shadow_days,shadow_peak,shadow_missed_pct,shadow_trough,shadow_avoided_pct,shadow_verdict
HAFN,momentum_breakout,breakout,uptrend,momentum_candidate,3,2026-09-04,9.22,2026-09-08,8.82,0.01,1.0,16.89,16.89,149.0,8.39,9.17,10.41,10.19,71.2,1.9,,,medium,False,,,False,open,,,,,,1.0,14,,,,3.0,pre_clean,True,pre_fix_accounting;stale_entry;unverified_fill_path,,,,,,,,
DYN,mean_reversion,oversold+sma_support,range,reversal_candidate,2,2026-09-08,17.01,2026-09-08,17.09,0.0171,1.0,4.36,8.72,149.0,14.76,17.27,18.8,19.19,25.0,0.6,,,medium,True,19.17,2026-09-09,False,closed,2026-09-18,17.25,trailing_stop,0.0173,1.0,3.0,10,9.77,6.56,6.77,3.0,pre_clean,True,pre_fix_accounting;scaleout_pnl_pre_fix;unverified_fill_path,,,4,18.09,4.87,17.12,0.75,Good exit
ABM,momentum_breakout,breakout,uptrend,momentum_candidate,3,2026-09-08,50.6,2026-09-09,50.65,0.05,1.0,2.94,2.94,149.0,48.67,48.67,59.76,50.91,59.3,2.65,,,medium,False,,,False,open,,,,,,1.0,13,,,,3.0,pre_clean,True,pre_fix_accounting;stale_entry;unverified_fill_path,,,,,,,,
PINS,mean_reversion,oversold+volume+sma_support,range,reversal_candidate,3,2026-09-09,18.28,2026-09-10,20.0,0.02,1.0,7.45,7.45,149.0,18.83,18.83,22.0,19.99997954177856,29.1,2.58,,,high,False,,,False,closed,2026-09-16,18.81,stop_loss,0.0188,1.0,2.0,7,-8.86,-5.94,-10.86,3.0,pre_clean,True,pre_fix_accounting;stale_entry;unverified_fill_path,,,6,19.33,2.76,18.31,2.66,Good exit
ECO,momentum_breakout,breakout,uptrend,momentum_candidate,3,2026-09-14,79.72,2026-09-15,79.78,0.08,1.0,1.87,1.87,149.0,75.77,78.25,94.13,86.94,79.7,2.1,,,medium,False,,,False,closed,2026-09-22,78.17,trailing_stop,0.0782,1.0,2.0,8,-3.01,-2.02,-5.01,3.0,pre_clean,True,pre_fix_accounting;stale_entry;unverified_fill_path,,,0,78.25,0.1,77.54,0.81,Good exit
SDGR,momentum_breakout,breakout,uptrend,momentum_candidate,3,2026-09-17,30.24,2026-09-18,29.35,0.0293,1.0,5.08,5.08,149.0,25.06,28.23,34.63,31.37,79.4,5.62,,,high,False,,,False,open,,,,,,1.0,4,,,,3.0,pre_clean,True,pre_fix_accounting;unverified_fill_path,,,,,,,,
TMO,momentum_breakout,breakout,uptrend,volume_spike,3,2026-09-21,655.46,2026-09-21,654.54,0.6539,1.0,0.23,0.23,149.0,634.25,634.25,772.36,661.83,71.0,,,,unknown,False,,,True,open,,,,,,1.0,1,,,,3.0,clean_v3,False,,scheduled,env,,,,,,
WBD,momentum_breakout,breakout,uptrend,momentum_candidate,3,2026-09-22,30.8,2026-09-22,30.87,0.0308,1.0,4.83,4.83,149.0,29.31,29.31,36.42,30.865834083557125,71.8,7.93,0.0252,False,unknown,False,,,True,open,,,,,,1.0,0,,,,3.0,clean_v3,False,,scheduled,env,,,,,,
